Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__Q3SZR3	CON__Q3SZR3	6	6	6		1	6	6	6	31.2	31.2	31.2	23.182	202	202	0	49.712	293780000	7			+	10	333;1696;2480;5220;5221;7013	True;True;True;True;True;True	333;1705;2492;5260;5261;7067	379;1957;2861;6159;6160;6161;8308	459;2344;3422;7406;7407;7408;10024	459;2344;3422;7406;7408;10024			-1
CON__Q3ZBD7;tr|A0A0J9YXP8|A0A0J9YXP8_HUMAN;tr|A0A0J9YX90|A0A0J9YX90_HUMAN;tr|A0A0J9YYH3|A0A0J9YYH3_HUMAN;tr|A0A2R8Y6C7|A0A2R8Y6C7_HUMAN	CON__Q3ZBD7	5;1;1;1;1	5;1;1;1;1	3;0;0;0;0		5	5	5	3	11.3	11.3	5.9	62.87	557	557;268;279;283;316	0	38.027	411650000	6			+	11	1191;1702;2525;6434;7546	True;True;True;True;True	1197;1711;2537;6480;7602	1385;1963;2914;7605;8936;8937	1669;2351;3488;9148;10795;10796	1669;2351;3488;9148;10795			-1;-1;-1;-1;-1
REV__CON__P17690	REV__CON__P17690	1	1	1		1	1	1	1	0	0	0	38.252	345	345	0.0014925	6.8752	122310000	1		+	+	12	7856	True	7913	9295	11230	11230			-1
REV__sp|O14986|PI51B_HUMAN	REV__sp|O14986|PI51B_HUMAN	1	1	1	sp|O14986|PI51B_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Homo sapiens OX=9606 GN=PIP5K1B PE=1 SV=2	1	1	1	1	0	0	0	61.036	540	540	0.0028169	6.4092	9099200	1		+		13	3592	True	3611	4191	5019	5019			-1
REV__tr|A0A087WV90|A0A087WV90_HUMAN;REV__tr|E9PDN5|E9PDN5_HUMAN;REV__tr|A0A087WTU7|A0A087WTU7_HUMAN;REV__tr|A0A075B6G3|A0A075B6G3_HUMAN;REV__sp|P11532|DMD_HUMAN	REV__tr|A0A087WV90|A0A087WV90_HUMAN;REV__tr|E9PDN5|E9PDN5_HUMAN;REV__tr|A0A087WTU7|A0A087WTU7_HUMAN;REV__tr|A0A075B6G3|A0A075B6G3_HUMAN;REV__sp|P11532|DMD_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|E9PDN5|E9PDN5_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A087WTU7_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A075B6G3|A	5	1	1	1	0	0	0	426.09	3680	3680;3681;3684;3685;3685	0.002185	6.6133	130480000	1		+		14	2884	True	2896	3330	3984	3984			-1;-1;-1;-1;-1
REV__sp|P31150|GDIA_HUMAN	REV__sp|P31150|GDIA_HUMAN	1	1	1	sp|P31150|GDIA_HUMAN Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2	1	1	1	1	0	0	0	50.582	447	447	0.0066007	6.0503	193690000	1		+		15	1893	True	1903	2170	2594	2594			-1
REV__tr|E9PM09|E9PM09_HUMAN;REV__tr|Q5SZX9|Q5SZX9_HUMAN;REV__tr|E9PRC8|E9PRC8_HUMAN;REV__sp|P49368|TCPG_HUMAN	REV__tr|E9PM09|E9PM09_HUMAN;REV__tr|Q5SZX9|Q5SZX9_HUMAN;REV__tr|E9PRC8|E9PRC8_HUMAN;REV__sp|P49368|TCPG_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|E9PM09|E9PM09_HUMAN T-complex protein 1 subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1;tr|Q5SZX9|Q5SZX9_HUMAN T-complex protein 1 subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1;tr|E9PRC8|E9PRC8_HUMAN T-complex pro	4	1	1	1	0	0	0	16.881	154	154;161;234;545	0.0096339	5.9085	69549000	1		+		16	3397	True	3416	3955	4747	4747			-1;-1;-1;-1
REV__sp|Q6ZWH5|NEK10_HUMAN	REV__sp|Q6ZWH5|NEK10_HUMAN	1	1	1	sp|Q6ZWH5|NEK10_HUMAN Serine/threonine-protein kinase Nek10 OS=Homo sapiens OX=9606 GN=NEK10 PE=2 SV=3	1	1	1	1	0	0	0	133.26	1172	1172	0.004749	6.1908	252730000	1		+		17	6474	True	6521	7653	9210	9210			-1
REV__sp|Q8N4P2|TT30B_HUMAN	REV__sp|Q8N4P2|TT30B_HUMAN	1	1	1	sp|Q8N4P2|TT30B_HUMAN Tetratricopeptide repeat protein 30B OS=Homo sapiens OX=9606 GN=TTC30B PE=1 SV=2	1	1	1	1	0	0	0	76.098	665	665	0.0089917	5.9172	10737000	1		+		18	5257	True	5297	6214	7475	7475			-1
REV__tr|E9PRE9|E9PRE9_HUMAN;REV__sp|Q8ND24|RN214_HUMAN	REV__tr|E9PRE9|E9PRE9_HUMAN;REV__sp|Q8ND24|RN214_HUMAN	1;1	1;1	1;1	tr|E9PRE9|E9PRE9_HUMAN RING finger protein 214 (Fragment) OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=1;sp|Q8ND24|RN214_HUMAN RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2	2	1	1	1	0	0	0	14.865	146	146;703	0.0034965	6.3616	393450000	1		+		19	1615	True	1623	1865	2229	2229			-1;-1
REV__tr|B5MC02|B5MC02_HUMAN;REV__sp|Q8NFT2|STEA2_HUMAN	REV__tr|B5MC02|B5MC02_HUMAN;REV__sp|Q8NFT2|STEA2_HUMAN	1;1	1;1	1;1	tr|B5MC02|B5MC02_HUMAN Metalloreductase STEAP2 OS=Homo sapiens OX=9606 GN=STEAP2 PE=1 SV=1;sp|Q8NFT2|STEA2_HUMAN Metalloreductase STEAP2 OS=Homo sapiens OX=9606 GN=STEAP2 PE=1 SV=3	2	1	1	1	0	0	0	45.983	403	403;490	0.0059484	6.0517	30130000	1		+		20	4130	True	4151	4854	5815	5815			-1;-1
REV__sp|Q96KC8|DNJC1_HUMAN	REV__sp|Q96KC8|DNJC1_HUMAN	1	1	1	sp|Q96KC8|DNJC1_HUMAN DnaJ homolog subfamily C member 1 OS=Homo sapiens OX=9606 GN=DNAJC1 PE=1 SV=1	1	1	1	1	0	0	0	63.882	554	554	0.0071895	6.0016	152560000	1		+		21	5410	True	5452	6396	7690	7690			-1
REV__sp|Q9BX84|TRPM6_HUMAN	REV__sp|Q9BX84|TRPM6_HUMAN	1	1	1	sp|Q9BX84|TRPM6_HUMAN Transient receptor potential cation channel subfamily M member 6 OS=Homo sapiens OX=9606 GN=TRPM6 PE=1 SV=2	1	1	1	1	0	0	0	231.71	2022	2022	0.0041012	6.2609	5828500	1		+		22	6243	True	6288	7380	8878	8878			-1
REV__tr|A0A087WVV7|A0A087WVV7_HUMAN;REV__sp|Q9C0H9|SRCN1_HUMAN;REV__tr|A0A087X165|A0A087X165_HUMAN	REV__tr|A0A087WVV7|A0A087WVV7_HUMAN;REV__sp|Q9C0H9|SRCN1_HUMAN;REV__tr|A0A087X165|A0A087X165_HUMAN	1;1;1	1;1;1	1;1;1	tr|A0A087WVV7|A0A087WVV7_HUMAN SRC kinase-signaling inhibitor 1 (Fragment) OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=1;sp|Q9C0H9|SRCN1_HUMAN SRC kinase signaling inhibitor 1 OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=4;tr|A0A087X165|A0A087X165_HUMAN SRC kin	3	1	1	1	0	0	0	99.161	928	928;1183;1217	0.0077771	5.9669	17805000	1		+		23	2221	True	2232	2546	3047	3047			-1;-1;-1
REV__sp|Q9NP71|MLXPL_HUMAN	REV__sp|Q9NP71|MLXPL_HUMAN	1	1	1	sp|Q9NP71|MLXPL_HUMAN Carbohydrate-responsive element-binding protein OS=Homo sapiens OX=9606 GN=MLXIPL PE=1 SV=1	1	1	1	1	0	0	0	93.071	852	852	0.0083655	5.9228	7757700	1		+		24	5266	True	5306	6223	7486	7486			-1
REV__sp|Q9P2H0|CE126_HUMAN	REV__sp|Q9P2H0|CE126_HUMAN	2	2	2	sp|Q9P2H0|CE126_HUMAN Centrosomal protein of 126 kDa OS=Homo sapiens OX=9606 GN=CEP126 PE=1 SV=3	1	2	2	2	0	0	0	125.87	1117	1117	0.00086881	11.377	54752000	2		+		25	3772;6617	True;True	3792;6666	4404;7816	5277;9401	5277;9401			-1
REV__tr|H3BPN9|H3BPN9_HUMAN	REV__tr|H3BPN9|H3BPN9_HUMAN	1	1	1	tr|H3BPN9|H3BPN9_HUMAN AP-1 complex subunit gamma-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=1	1	1	1	1	0	0	0	3.1387	26	26	0.0054127	6.1642	2945300	1		+		26	4835	True	4867	5665	6797	6797			-1
tr|A0A096LNJ1|A0A096LNJ1_HUMAN;tr|A0A096LP73|A0A096LP73_HUMAN;tr|A0A2R8Y6K9|A0A2R8Y6K9_HUMAN;tr|A0A2R8YDR7|A0A2R8YDR7_HUMAN;tr|F2Z2Q0|F2Z2Q0_HUMAN;tr|A0A096LP12|A0A096LP12_HUMAN;tr|A0A0B4J2H4|A0A0B4J2H4_HUMAN;sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN;tr|A0A096LPI6|A0A096LPI6_HUMAN	tr|A0A096LNJ1|A0A096LNJ1_HUMAN;tr|A0A096LP73|A0A096LP73_HUMAN;tr|A0A2R8Y6K9|A0A2R8Y6K9_HUMAN;tr|A0A2R8YDR7|A0A2R8YDR7_HUMAN;tr|F2Z2Q0|F2Z2Q0_HUMAN;tr|A0A096LP12|A0A096LP12_HUMAN;tr|A0A0B4J2H4|A0A0B4J2H4_HUMAN;sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN;tr|A0A096LPI6|A0A096LPI6_HUMAN	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	tr|A0A096LNJ1|A0A096LNJ1_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1;tr|A0A096LP73|A0A096LP73_HUMAN Glutamine amidotransferase-like class 1 domain-containi	10	1	1	1	20.8	20.8	20.8	11.004	106	106;137;163;190;217;224;237;268;268;279	0.000815	8.3258	42303000	1				27	2106	True	2117	2418	2892	2892			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|A5PKW4|PSD1_HUMAN	sp|A5PKW4|PSD1_HUMAN	1	1	1	sp|A5PKW4|PSD1_HUMAN PH and SEC7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PSD PE=1 SV=2	1	1	1	1	1.2	1.2	1.2	109.54	1024	1024	0.0021231	6.4427	9210300	1				28	4923	True	4959	5790	6962	6962			-1
sp|A5YKK6|CNOT1_HUMAN	sp|A5YKK6|CNOT1_HUMAN	1	1	1	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	266.94	2376	2376	0.0083494	5.9186	0	1				29	5975	True	6017	7067	8508	8508			-1
sp|A6NDG6|PGP_HUMAN	sp|A6NDG6|PGP_HUMAN	2	2	2	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	2	2	2	9.3	9.3	9.3	34.006	321	321	0	15.118	16444000	1				30	759;1807	True;True	761;1816	868;2075	1052;2480	1052;2480			-1
sp|A6NE02|BTBDH_HUMAN	sp|A6NE02|BTBDH_HUMAN	1	1	1	sp|A6NE02|BTBDH_HUMAN BTB/POZ domain-containing protein 17 OS=Homo sapiens OX=9606 GN=BTBD17 PE=3 SV=1	1	1	1	1	3.8	3.8	3.8	52.47	478	478	0.0065574	6.015	15522000	1				31	6242	True	6287	7379	8877	8877			-1
sp|A6NL88|SHSA7_HUMAN	sp|A6NL88|SHSA7_HUMAN	2	2	2	sp|A6NL88|SHSA7_HUMAN Protein shisa-7 OS=Homo sapiens OX=9606 GN=SHISA7 PE=2 SV=3	1	2	2	2	3.9	3.9	3.9	56.213	538	538	0	11.456	38372000	2				32	2400;3648	True;True	2412;3667	2762;4252	3301;5089	3301;5089			-1
tr|H0YKL9|H0YKL9_HUMAN;tr|H0YKZ7|H0YKZ7_HUMAN;tr|H0YLV6|H0YLV6_HUMAN;tr|H0YMT9|H0YMT9_HUMAN;tr|H0YKX9|H0YKX9_HUMAN;tr|H0YMW4|H0YMW4_HUMAN;tr|H0YMM1|H0YMM1_HUMAN;tr|H0YNP5|H0YNP5_HUMAN;tr|H0YKS4|H0YKS4_HUMAN;tr|H0YMD0|H0YMD0_HUMAN;tr|H0YMU9|H0YMU9_HUMAN;tr|H0YM50|H0YM50_HUMAN;tr|H0YN42|H0YN42_HUMAN;sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN	tr|H0YKL9|H0YKL9_HUMAN;tr|H0YKZ7|H0YKZ7_HUMAN;tr|H0YLV6|H0YLV6_HUMAN;tr|H0YMT9|H0YMT9_HUMAN;tr|H0YKX9|H0YKX9_HUMAN;tr|H0YMW4|H0YMW4_HUMAN;tr|H0YMM1|H0YMM1_HUMAN;tr|H0YNP5|H0YNP5_HUMAN;tr|H0YKS4|H0YKS4_HUMAN;tr|H0YMD0|H0YMD0_HUMAN;tr|H0YMU9|H0YMU9_HUMAN;tr|H0YM50|H0YM50_HUMAN;tr|H0YN42|H0YN42_HUMAN;sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	tr|H0YKL9|H0YKL9_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YKZ7|H0YKZ7_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YLV6|H0YLV6_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YMT9|H0	15	1	1	1	14.5	14.5	14.5	12.064	110	110;119;132;133;134;146;149;175;176;227;230;248;256;339;339	0.0065703	6.0267	3425000	1				33	5752	True	5794	6808	8176	8176			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|A7KAX9|RHG32_HUMAN;tr|G3V174|G3V174_HUMAN	sp|A7KAX9|RHG32_HUMAN;tr|G3V174|G3V174_HUMAN	2;1	2;1	2;1	sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1;tr|G3V174|G3V174_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1	2	2	2	2	1.3	1.3	1.3	230.53	2087	2087;946	0	14.251	20559000	3				34	4749;7542	True;True	4778;7598	5563;5564;8932	6678;6679;10789	6678;10789			-1;-1
