Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
tr|A0A0A0MS51|A0A0A0MS51_HUMAN;tr|A0A0A0MT01|A0A0A0MT01_HUMAN;CON__Q3SX14;sp|P06396|GELS_HUMAN	tr|A0A0A0MS51|A0A0A0MS51_HUMAN;tr|A0A0A0MT01|A0A0A0MT01_HUMAN;CON__Q3SX14;sp|P06396|GELS_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|A0A0A0MS51|A0A0A0MS51_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1;tr|A0A0A0MT01|A0A0A0MT01_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1;;sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	4	1	1	1	2.3	2.3	2.3	82.525	748	748;767;781;782	0.0008058	6.6492	5140000	1			+	10	4190	TRUE	4295	5185	6409	6409			-1;-1;-1;-1	44.3	42	35.5	41.4	39.2	63.1	49.9	43.9	41.9
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q9Z2K1;CON__Q3ZAW8	1;1	1;1	1;1	;	2	1	1	1	2.3	2.3	2.3	51.606	469	469;474	0.0054832	5.8556	39227000	1			+	11	133	TRUE	133	169	205	205			-1;-1	25.5	26.2	13.5	28.2	25.4	36.9	23.6	18.8	25.7
CON__Q3ZBD7;tr|K7EQ48|K7EQ48_HUMAN;sp|P06744|G6PI_HUMAN;tr|A0A0A0MTS2|A0A0A0MTS2_HUMAN;tr|A0A2U3TZU2|A0A2U3TZU2_HUMAN;tr|A0A0J9YXP8|A0A0J9YXP8_HUMAN;tr|A0A0J9YX90|A0A0J9YX90_HUMAN;tr|A0A0J9YYH3|A0A0J9YYH3_HUMAN;tr|A0A2R8Y6C7|A0A2R8Y6C7_HUMAN	CON__Q3ZBD7;tr|K7EQ48|K7EQ48_HUMAN;sp|P06744|G6PI_HUMAN;tr|A0A0A0MTS2|A0A0A0MTS2_HUMAN;tr|A0A2U3TZU2|A0A2U3TZU2_HUMAN	4;2;2;2;2;1;1;1;1	4;2;2;2;2;1;1;1;1	4;2;2;2;2;1;1;1;1	;tr|K7EQ48|K7EQ48_HUMAN Glucose-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=3;sp|P06744|G6PI_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4;tr|A0A0A0MTS2|A0A0A0MTS2_HUMAN Glucose-6-phosphate isomera	9	4	4	4	9.9	9.9	9.9	62.87	557	557;447;558;573;597;268;279;283;316	0	50.112	74248000	5			+	12	1356;1952;4927;5855	True;True;True;True	1376;1982;5040;5982	1631;2331;6068;7215	1983;1984;2880;7473;8918	1983;2880;7473;8918			-1;-1;-1;-1;-1;-1;-1;-1;-1	1.4	2.8	1.4	1.4	0	2.8	1.4	1.4	1.4
REV__sp|Q01546|K22O_HUMAN;REV__CON__Q01546	REV__sp|Q01546|K22O_HUMAN;REV__CON__Q01546	1;1	1;1	1;1	"sp|Q01546|K22O_HUMAN Keratin, type II cytoskeletal 2 oral OS=Homo sapiens OX=9606 GN=KRT76 PE=1 SV=2;"	2	1	1	1	0	0	0	65.84	638	638;638	0.0087719	5.7666	126150000	1		+	+	13	4532	TRUE	4642	5594	6900	6900			-1;-1	11.3	9.7	13.4	9.7	8.6	17.1	11.3	11.3	10.9
REV__CON__Q9TRI1	REV__CON__Q9TRI1	1	1	1		1	1	1	1	0	0	0	106.19	946	946	0.0056219	5.9295	4575000	1		+	+	14	1850	TRUE	1878	2210	2718	2718			-1	5.9	5.9	5.9	0	0	0	0	0	0
REV__sp|P49915|GUAA_HUMAN	REV__sp|P49915|GUAA_HUMAN	1	1	1	sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1	1	1	1	1	0	0	0	76.715	693	693	0.0074475	5.7972	53413000	1		+		15	2005	TRUE	2037	2392	2951	2951			-1	8.6	8.6	7.5	6.8	7.6	7.4	5.7	6.9	5.8
REV__tr|G3V4F7|G3V4F7_HUMAN;REV__sp|P61011|SRP54_HUMAN	REV__tr|G3V4F7|G3V4F7_HUMAN;REV__sp|P61011|SRP54_HUMAN	1;1	1;1	1;1	tr|G3V4F7|G3V4F7_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1;sp|P61011|SRP54_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1	2	1	1	1	0	0	0	48.67	440	440;504	0.0016064	6.584	39495000	1		+		16	4120	TRUE	4223	5101	6308	6308			-1;-1	0.5	0.5	0.5	0	0	0.5	0	0.5	0
REV__sp|Q08493|PDE4C_HUMAN	REV__sp|Q08493|PDE4C_HUMAN	1	1	1	"sp|Q08493|PDE4C_HUMAN cAMP-specific 3,5-cyclic phosphodiesterase 4C OS=Homo sapiens OX=9606 GN=PDE4C PE=1 SV=2"	1	1	1	1	0	0	0	79.901	712	712	0.0061686	5.8555	61510000	1		+		17	2236	TRUE	2268	2649	3264	3264			-1	3.9	3.9	3.9	2	2	2	2	2	2
REV__sp|Q12798|CETN1_HUMAN	REV__sp|Q12798|CETN1_HUMAN	1	1	1	sp|Q12798|CETN1_HUMAN Centrin-1 OS=Homo sapiens OX=9606 GN=CETN1 PE=1 SV=1	1	1	1	1	0	0	0	19.57	172	172	1	-2	5190500	1	+	+		18	3583	TRUE	3660	4348	5355	5355	0	80	-1	1.7	1.7	0	0	0	1.7	1.7	1.7	0
REV__tr|F5H6I7|F5H6I7_HUMAN;REV__sp|Q6DD88|ATLA3_HUMAN	REV__tr|F5H6I7|F5H6I7_HUMAN;REV__sp|Q6DD88|ATLA3_HUMAN	1;1	1;1	1;1	tr|F5H6I7|F5H6I7_HUMAN Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1;sp|Q6DD88|ATLA3_HUMAN Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1	2	1	1	1	0	0	0	58.772	523	523;541	0.0035361	5.9815	0	1		+		19	1093	TRUE	1110	1327	1616	1616			-1;-1	0	0	0	0	0	0	0	0	0
REV__tr|F5GXI7|F5GXI7_HUMAN;REV__tr|F5H7T6|F5H7T6_HUMAN;REV__tr|H0YGG3|H0YGG3_HUMAN;REV__tr|F5H5J8|F5H5J8_HUMAN;REV__tr|F5H142|F5H142_HUMAN;REV__sp|Q6IMN6|CAPR2_HUMAN	REV__tr|F5GXI7|F5GXI7_HUMAN;REV__tr|F5H7T6|F5H7T6_HUMAN;REV__tr|H0YGG3|H0YGG3_HUMAN;REV__tr|F5H5J8|F5H5J8_HUMAN;REV__tr|F5H142|F5H142_HUMAN;REV__sp|Q6IMN6|CAPR2_HUMAN	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	tr|F5GXI7|F5GXI7_HUMAN Caprin-2 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN2 PE=1 SV=1;tr|F5H7T6|F5H7T6_HUMAN Caprin-2 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN2 PE=1 SV=1;tr|H0YGG3|H0YGG3_HUMAN Caprin-2 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN2 PE	6	1	1	1	0	0	0	13.572	119	119;126;174;186;702;1127	0.0049296	5.9431	12804000	1		+		20	477	TRUE	485	580	695	695			-1;-1;-1;-1;-1;-1	0	0	0	0	0	0	0	0	0
REV__tr|J3KTH4|J3KTH4_HUMAN;REV__sp|Q6PKX4|DOK6_HUMAN	REV__tr|J3KTH4|J3KTH4_HUMAN;REV__sp|Q6PKX4|DOK6_HUMAN	1;1	1;1	1;1	tr|J3KTH4|J3KTH4_HUMAN Docking protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=DOK6 PE=1 SV=1;sp|Q6PKX4|DOK6_HUMAN Docking protein 6 OS=Homo sapiens OX=9606 GN=DOK6 PE=1 SV=1	2	1	1	1	0	0	0	18.2	156	156;331	0.006812	5.8218	3265000	1		+		21	2813	TRUE	2864	3421	4217	4217			-1;-1	0	0	0	0	0	0	0	0	0
REV__sp|Q86UW6|N4BP2_HUMAN	REV__sp|Q86UW6|N4BP2_HUMAN	1	1	1	sp|Q86UW6|N4BP2_HUMAN NEDD4-binding protein 2 OS=Homo sapiens OX=9606 GN=N4BP2 PE=1 SV=2	1	1	1	1	0	0	0	198.8	1770	1770	0.0042433	5.9726	49138000	1		+		22	3935	TRUE	4036	4870	6030	6030			-1	0	0	0	0	0	0	0	0	0
REV__sp|Q8N715|CC185_HUMAN	REV__sp|Q8N715|CC185_HUMAN	1	1	1	sp|Q8N715|CC185_HUMAN Coiled-coil domain-containing protein 185 OS=Homo sapiens OX=9606 GN=CCDC185 PE=1 SV=2	1	1	1	1	0	0	0	72.348	623	623	0.0098555	5.6898	13244000	1		+		23	1818	TRUE	1846	2174	2674	2674			-1	0	0	0	0	0	0	0	0	0
REV__sp|Q8TDJ6|DMXL2_HUMAN	REV__sp|Q8TDJ6|DMXL2_HUMAN	1	1	1	sp|Q8TDJ6|DMXL2_HUMAN DmX-like protein 2 OS=Homo sapiens OX=9606 GN=DMXL2 PE=1 SV=2	1	1	1	1	0	0	0	339.64	3036	3036	0.0029696	6.1957	64079000	1		+		24	3210	TRUE	3267	3883	4794	4794			-1	0	0	0	0	0	0	0	0	0
REV__sp|Q96B67|ARRD3_HUMAN	REV__sp|Q96B67|ARRD3_HUMAN	1	1	1	sp|Q96B67|ARRD3_HUMAN Arrestin domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARRDC3 PE=1 SV=1	1	1	1	1	0	0	0	46.394	414	414	0.0022624	6.2417	85238000	1		+		25	1287	TRUE	1305	1549	1888	1888			-1	0	0	0	0	0	0	0	0	0
REV__tr|Q5VSN0|Q5VSN0_HUMAN;REV__tr|Q5JPT2|Q5JPT2_HUMAN;REV__sp|Q96B97|SH3K1_HUMAN;REV__tr|Q5JPT1|Q5JPT1_HUMAN	REV__tr|Q5VSN0|Q5VSN0_HUMAN;REV__tr|Q5JPT2|Q5JPT2_HUMAN;REV__sp|Q96B97|SH3K1_HUMAN;REV__tr|Q5JPT1|Q5JPT1_HUMAN	2;2;2;1	2;2;2;1	2;2;2;1	tr|Q5VSN0|Q5VSN0_HUMAN SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=1;tr|Q5JPT2|Q5JPT2_HUMAN SH3 domain-containing kinase-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=1;sp|Q96B97|SH3K1	4	2	2	2	0	0	0	61.433	553	553;645;665;208	0.00098232	10.902	16992000	2		+		26	5101;5194	True;True	5217;5311	6276;6416	7733;7906	7733;7906			-1;-1;-1;-1	0	0	0	0	0	0	0	0	0
REV__tr|A0A224B028|A0A224B028_HUMAN;REV__sp|Q9HBE4|IL21_HUMAN	REV__tr|A0A224B028|A0A224B028_HUMAN;REV__sp|Q9HBE4|IL21_HUMAN	1;1	1;1	1;1	tr|A0A224B028|A0A224B028_HUMAN Interleukin OS=Homo sapiens OX=9606 GN=IL21 PE=1 SV=1;sp|Q9HBE4|IL21_HUMAN Interleukin-21 OS=Homo sapiens OX=9606 GN=IL21 PE=1 SV=3	2	1	1	1	0	0	0	18.652	162	162;162	1	-2	68507000	1	+	+		27	2114	TRUE	2146	2512	3090	3090	1	155	-1;-1	0	0	0	0	0	0	0	0	0
REV__sp|Q9NP85|PODO_HUMAN	REV__sp|Q9NP85|PODO_HUMAN	1	1	1	sp|Q9NP85|PODO_HUMAN Podocin OS=Homo sapiens OX=9606 GN=NPHS2 PE=1 SV=1	1	1	1	1	0	0	0	42.2	383	383	0.0092715	5.707	6420700	1		+		28	152	TRUE	153	191	233	233			-1	0	0	0	0	0	0	0	0	0
REV__tr|E5RIK6|E5RIK6_HUMAN	REV__tr|E5RIK6|E5RIK6_HUMAN	1	1	1	tr|E5RIK6|E5RIK6_HUMAN Fatty acid hydroxylase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=FAXDC2 PE=4 SV=1	1	1	1	1	0	0	0	12.01	102	102	0.0081191	5.7886	6841800	2		+		29	5530	TRUE	5655	6835	8450;8451	8450			-1	0	0	0	0	0	0	0	0	0
tr|H0Y5G7|H0Y5G7_HUMAN;sp|A2RRP1|NBAS_HUMAN	tr|H0Y5G7|H0Y5G7_HUMAN;sp|A2RRP1|NBAS_HUMAN	1;1	1;1	1;1	tr|H0Y5G7|H0Y5G7_HUMAN Neuroblastoma-amplified sequence (Fragment) OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=1;sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	2	1	1	1	0.7	0.7	0.7	160.41	1419	1419;2371	0.0028736	6.067	0	1				30	5614	TRUE	5739	6932	8571	8571			-1;-1	0	0	0	0	0	0	0	0	0
sp|A6NE02|BTBDH_HUMAN	sp|A6NE02|BTBDH_HUMAN	1	1	1	sp|A6NE02|BTBDH_HUMAN BTB/POZ domain-containing protein 17 OS=Homo sapiens OX=9606 GN=BTBD17 PE=3 SV=1	1	1	1	1	4	4	4	52.47	478	478	0	11.82	0	1				31	3346	TRUE	3404	4054	5014	5014			-1	0	0	0	0	0	0	0	0	0
tr|E9PP11|E9PP11_HUMAN;sp|A6NEC2|PSAL_HUMAN;tr|E9PLK3|E9PLK3_HUMAN;sp|P55786|PSA_HUMAN;tr|E9PJY4|E9PJY4_HUMAN;tr|E9PPD4|E9PPD4_HUMAN	tr|E9PP11|E9PP11_HUMAN;sp|A6NEC2|PSAL_HUMAN;tr|E9PLK3|E9PLK3_HUMAN;sp|P55786|PSA_HUMAN;tr|E9PJY4|E9PJY4_HUMAN;tr|E9PPD4|E9PPD4_HUMAN	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	tr|E9PP11|E9PP11_HUMAN Puromycin-sensitive aminopeptidase (Fragment) OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1;sp|A6NEC2|PSAL_HUMAN Puromycin-sensitive aminopeptidase-like protein OS=Homo sapiens OX=9606 GN=NPEPPSL1 PE=2 SV=3;tr|E9PLK3|E9PLK3_HUMAN Amino	6	2	2	2	11.4	11.4	11.4	22.302	201	201;478;915;919;141;163	0	13.215	9846300	2				32	2080;5891	True;True	2112;6018	2477;7266	3054;8982	3054;8982			-1;-1;-1;-1;-1;-1	0	0	0	0	0	0	0	0	0
tr|A0A0A0MSG0|A0A0A0MSG0_HUMAN;sp|A6NGB9|WIPF3_HUMAN	tr|A0A0A0MSG0|A0A0A0MSG0_HUMAN;sp|A6NGB9|WIPF3_HUMAN	1;1	1;1	1;1	tr|A0A0A0MSG0|A0A0A0MSG0_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=1;sp|A6NGB9|WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=4	2	1	1	1	1.9	1.9	1.9	49.348	483	483;483	0.0016013	6.5558	24984000	1				33	4634	TRUE	4745	5720	7055	7055			-1;-1	71	73	71	73	71	73	46	71	46
tr|E9PJK4|E9PJK4_HUMAN;sp|A6NI28|RHG42_HUMAN	tr|E9PJK4|E9PJK4_HUMAN;sp|A6NI28|RHG42_HUMAN	1;1	1;1	1;1	tr|E9PJK4|E9PJK4_HUMAN Rho GTPase-activating protein 42 OS=Homo sapiens OX=9606 GN=ARHGAP42 PE=1 SV=1;sp|A6NI28|RHG42_HUMAN Rho GTPase-activating protein 42 OS=Homo sapiens OX=9606 GN=ARHGAP42 PE=1 SV=3	2	1	1	1	1.1	1.1	1.1	94.506	840	840;874	0.005614	5.9293	71316000	1				34	2999	TRUE	3052	3638	4489	4489			-1;-1	6.7	6.7	6.7	6.7	12.2	8.9	12.2	6.7	6.7
